gs_name	gene_symbol
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PCLAF
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PEA15
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PFN1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PGK1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PIM2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PKD2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PKMYT1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PKN1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PLAUR
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PLD3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PLP2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PNP
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	POLD3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	POSTN
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PPIC
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PPP1CB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PPP4C
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PPP4R1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PRKD2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PRMT5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PROCR
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PSMD2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PTPRC
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	PYGB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	QSOX1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RAB31
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RALB
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RALGDS
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RCC1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RHOA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RIN2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RIT1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RNASE1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RNASE6
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RPA2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	RSU1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	S100A10
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	S100A11
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	S100A13
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SLA
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SLBP
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SLC1A5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SLC2A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SLC2A5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SLC39A6
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SLC7A5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SMAD2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SMARCD1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SPAG8
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SRGN
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	SRI
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	STK38
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	STX3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TAGLN
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TAX1BP3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TCF4
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TFF3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	THY1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TIMP2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TMSB4X
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TNFRSF1B
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TP53BP1
